judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,calibration,16,0.3,4,4,0.8125,0.8125,0.8125,0.0,0.8125,0.8125,0.0,0.7692307692307693,0.7692307692307693,0.0
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,test,34,0.3,4,4,0.8125,0.8529411764705882,0.8529411764705882,0.0,0.8529411764705882,0.8529411764705882,0.0,0.8484848484848485,0.8484848484848485,0.0
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,3,1.0,0.75,1.0,0.25,0.75,1.0,0.25,0.6666666666666666,1.0,0.33333333333333337
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,test,34,0.3,4,3,1.0,0.5882352941176471,0.7941176470588235,0.2058823529411764,0.5882352941176471,0.7941176470588236,0.20588235294117652,0.3636363636363636,0.7741935483870968,0.41055718475073316
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,5,0.875,0.6875,0.875,0.1875,0.6875,0.875,0.1875,0.7368421052631579,0.8571428571428571,0.12030075187969924
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,5,0.875,0.8529411764705882,0.7647058823529411,-0.08823529411764708,0.8529411764705882,0.7647058823529411,-0.08823529411764708,0.8484848484848485,0.6923076923076924,-0.1561771561771561
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,3,0.8125,0.8125,0.8125,0.0,0.8125,0.8125,0.0,0.823529411764706,0.8421052631578948,0.018575851393188847
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,test,34,0.3,4,3,0.8125,0.8529411764705882,0.7647058823529411,-0.08823529411764708,0.8529411764705883,0.7647058823529411,-0.08823529411764719,0.8275862068965517,0.7777777777777778,-0.04980842911877392
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,calibration,16,0.3,4,4,0.6875,0.6875,0.6875,0.0,0.6875,0.6875,0.0,0.7058823529411765,0.7058823529411765,0.0
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,test,34,0.3,4,4,0.6875,0.6470588235294118,0.6470588235294118,0.0,0.6470588235294117,0.6470588235294117,0.0,0.7142857142857143,0.7142857142857143,0.0
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,4,0.6875,0.6875,0.6875,0.0,0.6875,0.6875,0.0,0.7368421052631579,0.7368421052631579,0.0
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,test,34,0.3,4,4,0.6875,0.6764705882352942,0.6764705882352942,0.0,0.6764705882352942,0.6764705882352942,0.0,0.6666666666666667,0.6666666666666667,0.0
gpt-4o-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,5,0.625,0.5625,0.625,0.0625,0.5625,0.625,0.0625,0.6666666666666667,0.6666666666666665,-2.220446049250313e-16
gpt-4o-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,5,0.625,0.6764705882352942,0.7058823529411765,0.02941176470588236,0.6764705882352942,0.7058823529411764,0.02941176470588225,0.7317073170731708,0.7368421052631577,0.005134788189986916
gpt-4o-mini,en-US,grammar,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,4,0.6875,0.6875,0.6875,0.0,0.6875,0.6875,0.0,0.7368421052631579,0.7368421052631579,0.0
gpt-4o-mini,en-US,grammar,P3_bilingual,Bilingual rubric,test,34,0.3,4,4,0.6875,0.6470588235294118,0.6470588235294118,0.0,0.6470588235294117,0.6470588235294117,0.0,0.7142857142857143,0.7142857142857143,0.0
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,calibration,16,0.3,4,3,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.875,0.875,0.0
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,test,34,0.3,4,3,0.875,0.7647058823529411,0.7647058823529411,0.0,0.7647058823529411,0.7647058823529411,0.0,0.7333333333333334,0.7647058823529412,0.03137254901960784
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,2,0.6875,0.5625,0.6875,0.125,0.5625,0.6875,0.125,0.36363636363636365,0.761904761904762,0.3982683982683983
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,test,34,0.3,4,2,0.6875,0.7058823529411765,0.7352941176470589,0.02941176470588236,0.7058823529411764,0.7352941176470589,0.02941176470588247,0.5833333333333334,0.7692307692307693,0.1858974358974359
gpt-4o-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,3,0.875,0.75,0.875,0.125,0.75,0.875,0.125,0.6666666666666666,0.8571428571428571,0.19047619047619047
gpt-4o-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,3,0.875,0.7058823529411765,0.7058823529411765,0.0,0.7058823529411764,0.7058823529411764,0.0,0.6428571428571428,0.6666666666666667,0.023809523809523947
gpt-4o-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,2,0.6875,0.6875,0.6875,0.0,0.6875,0.6875,0.0,0.5454545454545454,0.7368421052631579,0.19138755980861244
gpt-4o-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,test,34,0.3,4,2,0.6875,0.8235294117647058,0.6470588235294118,-0.17647058823529405,0.8235294117647058,0.6470588235294118,-0.17647058823529405,0.8125,0.7272727272727272,-0.08522727272727282
gpt-4o-mini,es-ES,grammar,P0_direct_english,Direct English rubric,calibration,16,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.7142857142857143,0.7142857142857143,0.0
gpt-4o-mini,es-ES,grammar,P0_direct_english,Direct English rubric,test,34,0.3,4,4,0.75,0.5,0.5,0.0,0.5,0.5,0.0,0.6222222222222222,0.6222222222222222,0.0
gpt-4o-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,3,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.625,0.6666666666666665,0.04166666666666652
gpt-4o-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,test,34,0.3,4,3,0.625,0.5294117647058824,0.5294117647058824,0.0,0.5294117647058824,0.5294117647058824,0.0,0.6,0.6190476190476191,0.01904761904761909
gpt-4o-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,5,0.9375,0.8125,0.9375,0.125,0.8125,0.9375,0.125,0.823529411764706,0.9333333333333333,0.1098039215686274
gpt-4o-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,5,0.9375,0.5588235294117647,0.5,-0.05882352941176472,0.5588235294117647,0.5,-0.05882352941176472,0.5945945945945946,0.31999999999999995,-0.2745945945945947
gpt-4o-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,3,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.6,0.6363636363636364,0.036363636363636376
gpt-4o-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,test,34,0.3,4,3,0.5,0.5882352941176471,0.5588235294117647,-0.02941176470588236,0.5882352941176471,0.5588235294117647,-0.02941176470588236,0.6315789473684211,0.6511627906976744,0.019583843329253225
gpt-4o-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,calibration,16,0.3,4,3,0.8125,0.75,0.8125,0.0625,0.75,0.8125,0.0625,0.7142857142857143,0.7999999999999999,0.08571428571428563
gpt-4o-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,test,34,0.3,4,3,0.8125,0.8823529411764706,0.7647058823529411,-0.11764705882352944,0.8823529411764706,0.7647058823529411,-0.11764705882352944,0.8749999999999999,0.7777777777777778,-0.0972222222222221
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,3,0.875,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.875,0.017857142857142905
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,test,34,0.3,4,3,0.875,0.7058823529411765,0.7352941176470589,0.02941176470588236,0.7058823529411764,0.7352941176470589,0.02941176470588247,0.5833333333333334,0.7096774193548386,0.12634408602150526
gpt-4o-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,3,0.75,0.5625,0.75,0.1875,0.5625,0.75,0.1875,0.4615384615384615,0.75,0.2884615384615385
gpt-4o-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,3,0.75,0.7352941176470589,0.7058823529411765,-0.02941176470588236,0.7352941176470589,0.7058823529411765,-0.02941176470588236,0.7096774193548386,0.7058823529411765,-0.003795066413662118
gpt-4o-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,3,0.75,0.6875,0.75,0.0625,0.6875,0.75,0.0625,0.6153846153846154,0.75,0.13461538461538458
gpt-4o-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,test,34,0.3,4,3,0.75,0.8235294117647058,0.8235294117647058,0.0,0.8235294117647058,0.8235294117647058,0.0,0.7857142857142858,0.8235294117647058,0.037815126050420034
gpt-4o-mini,tr,grammar,P0_direct_english,Direct English rubric,calibration,16,0.3,4,5,0.5,0.4375,0.5,0.0625,0.4375,0.5,0.0625,0.39999999999999997,0.2,-0.19999999999999996
gpt-4o-mini,tr,grammar,P0_direct_english,Direct English rubric,test,34,0.3,4,5,0.5,0.5588235294117647,0.5,-0.05882352941176472,0.5588235294117647,0.5,-0.05882352941176472,0.6153846153846153,0.31999999999999995,-0.29538461538461536
gpt-4o-mini,tr,grammar,P1_target_rubric,Target-language rubric,calibration,16,0.3,4,3,0.5625,0.5625,0.5625,0.0,0.5625,0.5625,0.0,0.5882352941176471,0.5882352941176471,0.0
gpt-4o-mini,tr,grammar,P1_target_rubric,Target-language rubric,test,34,0.3,4,3,0.5625,0.4411764705882353,0.4117647058823529,-0.02941176470588236,0.4411764705882353,0.4117647058823529,-0.02941176470588236,0.42424242424242425,0.4736842105263158,0.049441786283891564
gpt-4o-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,calibration,16,0.3,4,5,0.5625,0.375,0.5625,0.1875,0.375,0.5625,0.1875,0.4444444444444445,0.4615384615384615,0.017094017094017033
gpt-4o-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,test,34,0.3,4,5,0.5625,0.5294117647058824,0.4411764705882353,-0.08823529411764708,0.5294117647058824,0.4411764705882353,-0.08823529411764708,0.6,0.42424242424242425,-0.17575757575757572
gpt-4o-mini,tr,grammar,P3_bilingual,Bilingual rubric,calibration,16,0.3,4,5,0.5625,0.4375,0.5625,0.125,0.4375,0.5625,0.125,0.5263157894736842,0.2222222222222222,-0.30409356725146197
gpt-4o-mini,tr,grammar,P3_bilingual,Bilingual rubric,test,34,0.3,4,5,0.5625,0.47058823529411764,0.5294117647058824,0.05882352941176472,0.47058823529411764,0.5294117647058824,0.05882352941176472,0.5,0.2727272727272727,-0.2272727272727273
gpt-4o-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,calibration,16,0.3,4,3,0.625,0.625,0.625,0.0,0.625,0.625,0.0,0.6666666666666665,0.7272727272727273,0.060606060606060774
