failure_mode,language,dimension,human_label,item_id,P0_direct_english,P1_target_rubric,P2_explicit_pivot,P3_bilingual,effect_size,candidate_output,english_translation,P1_target_rubric_rationale,P2_explicit_pivot_rationale,P3_bilingual_rationale
Pivot inflates human-negative item,vi,comprehensibility,0,seahorse_test_vi_comprehensibility_008948_reference,2,2,5,1,4,"Chuẩn bị vật liệu,.",Prepare materials.,Câu tóm tắt không rõ ràng và thiếu thông tin cần thiết để người đọc hiểu nội dung.,"The summary is clear and straightforward, conveying a simple action.",Summary is unclear and lacks context for understanding.
Pivot inflates human-negative item,tr,grammar,0,seahorse_test_tr_grammar_008888_mt5_small,2,3,5,2,3,"Kuzey Kore lideri Kim Jong-nam'ın kardeşi Kim Jong-nam'ın, bir kamera şakası yaptığını iddia eden bir kişi gözaltına alındı.","A person claiming to be a prankster of Kim Jong-nam, the brother of North Korean leader Kim Jong-un, has been detained.","Cümledeki isimlerin tekrarı ve yapı açısından bazı karmaşalar var, ancak genel anlamda anlaşılır ve akıcı.",The summary is grammatical and fluent in English.,Cümlede isim karışıklığı ve dilbilgisi hatası var.
Pivot inflates human-negative item,tr,grammar,0,seahorse_test_tr_grammar_008780_mt5_small,3,2,5,3,3,"ABD'li avukat James Comet'in, teknoloji devi Microsoft'un yeni filmini yapan ve ünlü yönetmenlerinden Erik Spielberg, yeni film için bir araya geldi.","American lawyer James Comet met with Erik Spielberg, the famous director, who is making a new film for the technology giant Microsoft. They came together for the new film.",Cümlede dilbilgisi hataları var ve akıcılık açısından zayıf. Özellikle 'yeni filmini yapan' ifadesi belirsiz ve karışık.,The summary is grammatical and fluent in English.,"Cümle yapısı karmaşık, bazı dilbilgisi hataları var."
Pivot inflates human-negative item,tr,grammar,0,seahorse_test_tr_grammar_004303_mt5_small_250steps,4,2,5,4,3,Facebook’ı aç. Hoşlandığın kişinin adını bul.,Open Facebook. Find the name of the person you like.,Cümle dilbilgisi açısından bazı eksiklikler ve akıcılık sorunları içeriyor.,"The summary is clear, grammatical, and fluent in English.","Dilbilgisi doğru, akıcılık iyi seviyede."
Pivot inflates human-negative item,vi,grammar,0,seahorse_test_vi_grammar_008693_mt5_xxl,4,2,5,4,3,Một đoạn phim video mới quay cảnh treo cổ cựu tổng thống Iraq Saddam Hussein được tung ra trên mạng internet.,A new video clip showing the hanging of former Iraqi president Saddam Hussein has been released on the internet.,"Câu văn không sử dụng đúng ngữ pháp và có cấu trúc không rõ ràng, gây khó hiểu cho người đọc.","The summary is clear, grammatical, and fluent in English.",Câu văn sử dụng ngữ pháp đúng và có tính mạch lạc.
Pivot inflates human-negative item,vi,grammar,0,seahorse_test_vi_grammar_006238_mt5_small,4,2,5,3,3,Thính giả Phan Xuân Trung đã tới Luân Đôn để nghe tin tức về vụ nổ bom đạn nổ trên đất nước.,Listener Phan Xuan Trung has arrived in London to hear news about the bomb explosion in the country.,"Câu văn có lỗi ngữ pháp và cấu trúc không rõ ràng, gây khó hiểu cho người đọc.","The summary is clear, grammatical, and fluent in English.",Câu có ngữ pháp cơ bản nhưng chưa hoàn toàn trôi chảy.
Pivot inflates human-negative item,tr,comprehensibility,0,seahorse_test_tr_comprehensibility_004062_reference,4,3,5,3,2,"Unibeast klasörünü aç. Unibeast uygulamasını aç. Sorulduğunda Open (Aç) seçeneğine tıkla. Continue Sorulduğunda Agree (Kabul ediyorum) üzerine tıkla. USB diskini seç, sonra Continue (Devam et) üzerine tıkla. High Sierra Ana kart tipini seç. Gerekirse bir ekran kartı seçeneği belirle, ardından  Continue (Devam et) seçeneğine tıkla. Continue Mac’inin şifresini gir. OK","Open the Unibeast folder. Launch the Unibeast application. When prompted, click on Open. When asked to Continue, click on Agree. Select the USB disk, then click on Continue. Choose the High Sierra motherboard type. If necessary, select a graphics card option, then click on Continue. Enter your Mac's password when prompted. OK.","Özet, adım adım talimatlar içeriyor ancak bazı terimler ve işlemler açıklanmamış, bu da anlaşılırlığı zorlaştırıyor.",The summary is clear and easy to follow step-by-step.,Özet adımları net ama bazı terimler belirsiz kalıyor.
Pivot inflates human-negative item,tr,grammar,0,seahorse_test_tr_grammar_003456_mt5_small,3,4,5,4,2,İngiltere'de hükümetin koronavirüs salgınında ölüm oranlarının Ekim ortası 50 bine çıkabileceğini açıkladı.,"The government in the UK announced that the death toll from the coronavirus pandemic could reach 50,000 by mid-October.","Cümle dilbilgisi açısından doğru ve akıcı, anlamı net bir şekilde ifade ediyor.",The summary is grammatical and fluent in English.,Cümle dilbilgisi açısından doğru ve akıcı bir şekilde ifade edilmiştir.
Pivot deflates human-positive item,tr,comprehensibility,1,seahorse_test_tr_comprehensibility_017488_1shot,5,5,1,5,4,Kâğıdı kare şeklinde katla.,Fold the paper into a square shape. Fold the paper into a square shape. [repetition continues],"Özet, basit ve net bir talimat veriyor, bu nedenle kolayca anlaşılabilir.",Repetition makes the summary unclear and difficult to understand.,"Özet, basit ve anlaşılır bir talimat sunuyor."
Pivot deflates human-positive item,es-ES,comprehensibility,1,seahorse_test_es-ES_comprehensibility_008104_mt5_small,5,4,2,4,3,La Comisión Europea detecta otros 12 sospechosos de haber combatido en las filas del Estado Islámico,The European Commission identifies another 12 suspects of having fought in the ranks of the Islamic State. The European Commission detects other 12 suspects of having fought in the ranks of the Islamic State. [repetition continues],"El resumen es claro y directo, facilitando la comprensión del mensaje principal sobre la detección de sospechosos por parte de la Comisión Europea.",Repetition affects clarity and makes it harder to understand.,"El resumen es claro y directo, fácil de entender."
Pivot deflates human-positive item,es-ES,grammar,1,seahorse_test_es-ES_grammar_012428_finetuned,5,4,2,4,3,La oposición venezolana volvió a renacer.,The Venezuelan opposition has risen again. The Venezuelan opposition has come back to life. [repetition continues],"El resumen es gramaticalmente correcto y fluido, aunque es muy breve.",Repetitive phrasing affects fluency and overall grammatical quality.,El resumen es gramaticalmente correcto y fluido.
Pivot deflates human-positive item,es-ES,comprehensibility,1,seahorse_test_es-ES_comprehensibility_008215_mt5_small_250steps,4,2,1,2,3,Abre un modelo de barco de madera.,Opens a model of a wooden boat. [repetition continues],"El resumen es muy breve y carece de contexto, lo que dificulta su comprensión.",The summary is unclear and lacks coherence.,El resumen es vago y carece de contexto claro.
Pivot deflates human-positive item,vi,comprehensibility,1,seahorse_test_vi_comprehensibility_016484_1shot,4,2,1,4,3,Chính quyền Bush đã đưa đội quân Cộng Hòa của Iran vào danh sách các tổ chức khủng bố.,The Bush administration placed Iran's Republican Guard on the list of terrorist organizations. The Bush administration placed Iran's Republican Guard on the list of terrorist organizations. [repetition continues],Câu văn có thể gây nhầm lẫn do thiếu ngữ cảnh và không rõ ràng về ý nghĩa của việc đưa quân vào danh sách tổ chức khủng bố.,Repetition makes the summary unclear and difficult to understand.,Tóm tắt dễ hiểu và truyền đạt thông tin rõ ràng.
Pivot deflates human-positive item,vi,grammar,1,seahorse_test_vi_grammar_016479_1shot,4,3,1,4,3,Tàu tàng hình Ấn Độ thăm Hải Phòng,The Indian stealth ship visits Haiphong. The Indian stealth ship visits Haiphong. [repetition continues],"Bản tóm tắt sử dụng ngữ pháp cơ bản đúng, nhưng có thể cải thiện về cấu trúc câu và sự mạch lạc.",Repetition indicates poor grammar and lack of fluency.,"Câu văn ngắn gọn, ngữ pháp đúng và dễ hiểu."
Pivot deflates human-positive item,es-ES,comprehensibility,1,seahorse_test_es-ES_comprehensibility_017125_1shot,4,3,2,4,2,El piercing de lóbulo es el más común. El piercing de cartílago es una opción moderna. El piercing de trago es un piercing avanzado. El piercing de caracola es un piercing común.,Lobe piercings are the most common. Cartilage piercings are a modern option. Tragus piercings are an advanced type. Conch piercings are a common type. [repetition continues],"El resumen presenta información clara sobre diferentes tipos de piercings, pero la estructura es algo fragmentada, lo que puede dificultar la comprensión completa del tema.",Repetitive structure affects overall clarity and engagement.,El resumen es claro y fácil de entender en general.
Pivot deflates human-positive item,es-ES,comprehensibility,1,seahorse_test_es-ES_comprehensibility_010058_mt5_small,4,3,2,4,2,"El presidente de Argentina, Néstor y Cristina Fernández de Kirchner, se convirtieron en figuras importantes de la política argentina.","The president of Argentina, Néstor and Cristina Fernández de Kirchner, became important figures in Argentine politics. They became important figures in Argentine politics. [repetition continues]","El resumen es comprensible, pero la mención de 'Néstor y Cristina Fernández de Kirchner' puede causar confusión, ya que no se aclara que son dos personas distintas.",Repetition affects clarity and overall comprehensibility.,El resumen es claro y fácil de entender.
