judge_model,language,dimension,protocol,protocol_name,n,n_parsed,parse_rate,human_positive_rate,mean_judge_score,spearman,spearman_ci_low,spearman_ci_high,auroc,estimated_cost_usd
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,2.8,0.7811813405605842,0.5718629313111772,0.8961437393803826,0.94,0.0011071499999999999
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.45,0.7381697985827572,0.5288504649336601,0.8843316712653004,0.91,0.00102855
gpt-4o-mini,en-US,comprehensibility,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,3.1,0.7839663096097782,0.5785785326205418,0.8954329380727644,0.94,0.0011695499999999999
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,2.75,0.6465790872963897,0.30967994769782703,0.8964578108461413,0.86,0.00122055
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.85,0.6655643421934013,0.3419881559534967,0.8760685393495663,0.865,0.0011076
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,3.25,0.6139300933573846,0.22941215162951076,0.8534342165028206,0.835,0.0010548
gpt-4o-mini,en-US,grammar,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,4.2,0.7100955762713547,0.3885155565459983,0.9178907667269132,0.87,0.001176
gpt-4o-mini,en-US,grammar,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.85,0.7162166238089206,0.5323085379921035,0.8791252737228059,0.88,0.0012228
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,2.8,0.8689858667418652,0.7651674479899458,0.9252500871578775,0.985,0.00116595
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.25,0.7551912507939015,0.5802800470819484,0.8970767352518508,0.91,0.00119295
gpt-4o-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,3.1,0.8155615012057619,0.6333182656498407,0.9140257315714276,0.955,0.0011814
gpt-4o-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,2.7,0.8980265101338746,0.8014559990398114,0.9304741052164806,1.0,0.0013507500000000002
gpt-4o-mini,es-ES,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,4.15,-0.06172133998483677,-0.5246670571260724,0.4688138510917188,0.47,0.0010660499999999998
gpt-4o-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,3.7,-0.2732971972499743,-0.6637464658618543,0.18600805664113448,0.39,0.0011290499999999997
gpt-4o-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,4.6,0.17303618253948003,-0.26127811594155576,0.6005325641789634,0.58,0.00113505
gpt-4o-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,4.1,-0.061688709086449876,-0.5220746538362461,0.4688138510917188,0.47,0.00128925
gpt-4o-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.1,0.8851160797344585,0.7508801125323441,0.9534625892455924,0.985,0.00119355
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.5,0.5235703144047361,0.1266643867598328,0.7866164175446061,0.78,0.00140835
gpt-4o-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,4.0,0.6154531734386071,0.28852267578227153,0.8351793373201087,0.83,0.00116625
gpt-4o-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.0,0.6900535580978322,0.3207475804554061,0.9296222517045284,0.87,0.00143655
gpt-4o-mini,tr,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.75,0.37759562539695074,-0.01904439929139491,0.712980460455279,0.705,0.0011754
gpt-4o-mini,tr,grammar,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,3.2,0.32126980205784317,-0.08696613773338255,0.6925036992815345,0.67,0.0014142
gpt-4o-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,4.6,0.22360679774997896,-0.22911535239834174,0.5735393346764044,0.59,0.0011949
gpt-4o-mini,tr,grammar,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.6,0.49040905766649145,0.15674192048586585,0.7309919130229023,0.74,0.0014495999999999999
gpt-4o-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.05,0.268105094842194,-0.16574882654441594,0.6935325672400349,0.645,0.0011902500000000001
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,20,20,1.0,0.5,2.8,0.3471803907281875,-0.08690183810311675,0.7374689619460413,0.69,0.0013636499999999999
gpt-4o-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,20,20,1.0,0.5,3.75,0.4758840842490334,0.08876393339905075,0.7981315700795946,0.76,0.0011935499999999998
gpt-4o-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,20,20,1.0,0.5,3.15,0.2770082609640654,-0.15800188854096692,0.712375917710291,0.645,0.00141825
gpt-4o-mini,vi,grammar,P0_direct_english,Direct English rubric,20,20,1.0,0.5,3.3,-0.09316949906249124,-0.5272362522030456,0.297446892283654,0.45,0.0011870999999999997
