run,judge_model,language,dimension,protocol,k_per_class,n_calibration,n_test,repeat,baseline_threshold,selected_threshold,full_group_baseline_balanced_accuracy,test_baseline_balanced_accuracy,test_calibrated_balanced_accuracy,delta_balanced_accuracy
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,0,4,2,0.8400000000000001,0.8541666666666666,0.6458333333333334,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,1,4,2,0.8400000000000001,0.875,0.6458333333333334,-0.22916666666666663
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,2,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,3,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,4,4,2,0.8400000000000001,0.8541666666666667,0.6458333333333334,-0.20833333333333337
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,5,4,5,0.8400000000000001,0.8541666666666667,0.6041666666666666,-0.2500000000000001
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,6,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,7,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,8,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,9,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,10,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,11,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,12,4,5,0.8400000000000001,0.8541666666666667,0.6041666666666666,-0.2500000000000001
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,13,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,14,4,2,0.8400000000000001,0.8541666666666666,0.625,-0.22916666666666663
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,15,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,16,4,2,0.8400000000000001,0.8541666666666667,0.6458333333333334,-0.20833333333333337
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,17,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,18,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,19,4,5,0.8400000000000001,0.8541666666666667,0.6041666666666666,-0.2500000000000001
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,20,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,21,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,22,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,23,4,2,0.8400000000000001,0.8541666666666667,0.6458333333333334,-0.20833333333333337
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,24,4,3,0.8400000000000001,0.8541666666666666,0.8125,-0.04166666666666663
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,25,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,26,4,2,0.8400000000000001,0.8541666666666666,0.625,-0.22916666666666663
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,27,4,2,0.8400000000000001,0.8541666666666667,0.6458333333333334,-0.20833333333333337
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,28,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,29,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,30,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,31,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,32,4,4,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.0
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,33,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,34,4,2,0.8400000000000001,0.8541666666666666,0.6458333333333334,-0.20833333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,35,4,3,0.8400000000000001,0.8541666666666666,0.8125,-0.04166666666666663
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,36,4,2,0.8400000000000001,0.8541666666666667,0.6458333333333334,-0.20833333333333337
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,37,4,3,0.8400000000000001,0.8333333333333333,0.8125,-0.02083333333333326
candidate n50,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,1,2,48,38,4,2,0.8400000000000001,0.8333333333333333,0.625,-0.20833333333333326
