judge_model,language,dimension,protocol,protocol_name,n,n_parsed,parse_rate,human_positive_rate,mean_judge_score,spearman,spearman_ci_low,spearman_ci_high,auroc,estimated_cost_usd
gpt-4o-mini,en-de,translation_quality_ref_free,P0_direct_english,Direct English rubric,30,30,1.0,0.5,4.666666666666667,0.5107914739631497,0.22972933821235153,0.7766424485371146,0.7355555555555555,0.00191685
gpt-4o-mini,en-de,translation_quality_ref_free,P1_target_rubric,Target-language rubric,30,30,1.0,0.5,4.533333333333333,0.47872509735012975,0.20412657848867743,0.7846768653898168,0.74,0.0022336500000000007
gpt-4o-mini,en-de,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,30,30,1.0,0.5,4.6,0.4373275788872813,0.14122529734203895,0.7207386903754457,0.7088888888888889,0.0018786
gpt-4o-mini,en-de,translation_quality_ref_free,P3_bilingual,Bilingual rubric,30,30,1.0,0.5,4.533333333333333,0.6770618128448084,0.4169067708915571,0.8679144739776357,0.8377777777777777,0.00233235
gpt-4o-mini,en-ru,translation_quality_ref_free,P0_direct_english,Direct English rubric,30,30,1.0,0.5,4.566666666666666,0.02339541354478655,-0.2818683286807816,0.37980500276190376,0.5111111111111111,0.0019715999999999996
gpt-4o-mini,en-ru,translation_quality_ref_free,P1_target_rubric,Target-language rubric,30,30,1.0,0.5,4.433333333333334,0.19911699347999157,-0.11026368558596586,0.5330212604671088,0.6,0.0021284999999999997
gpt-4o-mini,en-ru,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,30,30,1.0,0.5,4.366666666666666,0.035116102504491764,-0.3016975493541079,0.3862233382779482,0.5177777777777778,0.0019413
gpt-4o-mini,en-ru,translation_quality_ref_free,P3_bilingual,Bilingual rubric,30,30,1.0,0.5,4.466666666666667,0.1781476531796939,-0.1648596258140592,0.5305401941693793,0.5888888888888889,0.0023537999999999996
gpt-4o-mini,zh-en,translation_quality_ref_free,P0_direct_english,Direct English rubric,30,30,1.0,0.5,4.166666666666667,0.5953667260282005,0.3185856980402736,0.8439088586316152,0.82,0.0019612500000000003
gpt-4o-mini,zh-en,translation_quality_ref_free,P2_explicit_pivot,Explicit English pivot,30,30,1.0,0.5,4.133333333333334,0.18749999999999997,-0.14927588710981893,0.48397406495821416,0.6,0.0019210499999999999
