judge_model,language,dimension,protocol,protocol_name,n,n_parsed,parse_rate,human_positive_rate,mean_judge_score,spearman,spearman_ci_low,spearman_ci_high,auroc,estimated_cost_usd
gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,6,6,1.0,0.5,3.3333333333333335,0.8911327886790069,0.674199862463242,1.0,1.0,0.0003345
gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,2.8333333333333335,0.9486832980505139,0.7071067811865477,1.0,1.0,0.0003027
gpt-4o-mini,en-US,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,3.6666666666666665,0.9486832980505139,0.7071067811865477,1.0,1.0,0.000345
gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,3.0,0.9045340337332908,0.7071067811865477,1.0,1.0,0.0003672
gpt-4o-mini,en-US,grammar,P0_direct_english,Direct English rubric,6,6,1.0,0.5,4.0,0.42163702135578396,-0.45909053651246745,1.0,0.7222222222222222,0.00032114999999999997
gpt-4o-mini,en-US,grammar,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,3.6666666666666665,0.447213595499958,0.20000000000000007,1.0,0.6666666666666666,0.00028964999999999997
gpt-4o-mini,en-US,grammar,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,5.0,,,,0.5,0.00032925
gpt-4o-mini,en-US,grammar,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,4.166666666666667,0.42163702135578396,-0.45909053651246745,1.0,0.7222222222222222,0.00035625
gpt-4o-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,6,6,1.0,0.5,2.8333333333333335,0.8040302522073696,0.316227766016838,1.0,0.9444444444444444,0.00033420000000000005
gpt-4o-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,2.1666666666666665,0.7378647873726218,0.316227766016838,1.0,0.8888888888888888,0.0003426
gpt-4o-mini,es-ES,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,2.6666666666666665,0.8164965809277261,0.316227766016838,1.0,0.9444444444444444,0.0003471
gpt-4o-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,2.8333333333333335,0.8040302522073696,0.316227766016838,1.0,0.9444444444444444,0.0003867
gpt-4o-mini,es-ES,grammar,P0_direct_english,Direct English rubric,6,6,1.0,0.5,2.6666666666666665,0.3015113445777636,-0.6708203932499369,0.9486832980505139,0.6666666666666666,0.00033959999999999996
gpt-4o-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,2.5,0.5025189076296059,-0.4472135954999579,0.9486832980505139,0.7777777777777778,0.0003645
gpt-4o-mini,es-ES,grammar,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,3.5,0.5025189076296059,-0.46475800154489,1.0,0.7777777777777778,0.0003507
gpt-4o-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,2.8333333333333335,0.42163702135578396,-0.447213595499958,1.0,0.7222222222222222,0.00039929999999999995
gpt-4o-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,6,6,1.0,0.5,2.6666666666666665,0.9486832980505139,0.7071067811865477,1.0,1.0,0.00041279999999999995
gpt-4o-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,2.5,0.9045340337332908,0.7071067811865477,1.0,1.0,0.0004704
gpt-4o-mini,tr,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,3.0,0.9045340337332908,0.7071067811865477,1.0,1.0,0.0004257
gpt-4o-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,2.6666666666666665,0.9486832980505139,0.7071067811865477,1.0,1.0,0.0004845
gpt-4o-mini,tr,grammar,P0_direct_english,Direct English rubric,6,6,1.0,0.5,3.3333333333333335,0.0,-1.0,0.9486832980505139,0.5,0.00035865000000000007
gpt-4o-mini,tr,grammar,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,3.1666666666666665,-0.21081851067789198,-1.0,0.7071067811865475,0.3888888888888889,0.0004210499999999999
gpt-4o-mini,tr,grammar,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,3.0,-0.3333333333333333,-1.0,0.5000000000000001,0.3333333333333333,0.00037995
gpt-4o-mini,tr,grammar,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,3.1666666666666665,-0.21081851067789198,-1.0,0.7071067811865475,0.3888888888888889,0.00044445
gpt-4o-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,6,6,1.0,0.5,2.5,0.7378647873726218,0.316227766016838,1.0,0.8888888888888888,0.00039705
gpt-4o-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,2.3333333333333335,0.7071067811865475,0.316227766016838,1.0,0.8333333333333334,0.00044804999999999997
gpt-4o-mini,vi,comprehensibility,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,2.6666666666666665,0.4082482904638631,-0.7071067811865475,1.0,0.7222222222222222,0.00041055000000000003
gpt-4o-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,2.5,0.7378647873726218,0.316227766016838,1.0,0.8888888888888888,0.00046274999999999995
gpt-4o-mini,vi,grammar,P0_direct_english,Direct English rubric,6,6,1.0,0.5,3.3333333333333335,0.0,-0.9766846372069955,1.0,0.5,0.0003282
gpt-4o-mini,vi,grammar,P1_target_rubric,Target-language rubric,6,6,1.0,0.5,2.6666666666666665,0.0,-1.0,0.7071067811865475,0.5,0.0003867
gpt-4o-mini,vi,grammar,P2_pivot_in_prompt,English-pivot diagnostic,6,6,1.0,0.5,3.6666666666666665,-0.3110855084191276,-0.981311204829776,0.6380543757201405,0.3333333333333333,0.00034409999999999996
gpt-4o-mini,vi,grammar,P3_bilingual,Bilingual rubric,6,6,1.0,0.5,3.5,-0.1005037815259212,-1.0,1.0,0.4444444444444444,0.0004167
